#,Zone Name,January ,February ,March ,April ,May ,June ,July,August,September,October,November,December,GT by Zone
478,North Charles between Boylston and Beacon,147,456,602,719,714,841,316,,,,,,3795
888,East Newbury between Arlington and Berkeley,138,289,600,640,632,703,306,,,,,,3308
561,South Newbury between Mass and Charlesgate E,0,0,4,540,825,1289,477,,,,,,3135
892,East Newbury between Clarendon and Dartmouth,119,340,457,502,558,773,322,,,,,,3071
924,North Boylston between Clarendon and Berkeley,104,248,470,529,605,687,298,,,,,,2941
889,West Newbury between Berkeley and Clarendon,94,254,432,560,651,637,273,,,,,,2901
887,West Newbury between Arlington and Berkeley,85,264,467,593,539,593,287,,,,,,2828
890,East Newbury between Berkeley and Clarendon,92,229,385,479,601,704,272,,,,,,2762
928,North Boylston between Arlington and Charles ,47,233,446,476,595,687,240,,,,,,2724
25,South Boylston between Berkeley and Arlington,95,186,461,457,571,665,248,,,,,,2683
891,West Newbury between Clarendon and Dartmouth,106,304,466,447,486,557,248,,,,,,2614
509,West Clarendon between Comm and Newbury,99,43,442,527,556,592,255,,,,,,2514
479,West Beacon between Charles and Arlington,101,296,461,389,418,519,170,,,,,,2354
927,North Boylston between Berkeley and Arlington,65,208,337,418,445,510,175,,,,,,2158
508,East Clarendon between Newbury and Comm,95,216,364,373,401,494,192,,,,,,2135
22,South Boylston between Clarendon and Berkeley,55,170,290,426,361,507,191,,,,,,2000
440,West Clarendon between Stuart and Columbus,0,0,2,581,398,567,250,,,,,,1798
916,South Boylston between Dartmouth and Clarendo,58,122,352,249,364,415,179,,,,,,1739
926,East Berkeley between Boylston and Newbury,57,104,275,344,352,460,147,,,,,,1739
456,North Boylston between Dartmouth and Clarendo,60,167,360,262,306,389,169,,,,,,1713
550,South Beacon between Mass and Charlesgate E,0,0,0,322,576,617,190,,,,,,1705
506,East Berkeley between Newbury and Comm,58,86,264,372,330,421,152,,,,,,1683
566,West Massachusetts between Haviland and Westl,0,0,1,332,435,621,235,,,,,,1624
453,South Providence between Berkeley and Arlingt,0,0,2,287,460,551,269,,,,,,1569
519,West Dartmouth between Boylston and Newbury,96,141,285,303,197,362,175,,,,,,1559
801,East Raleigh between Back and Bay State,0,0,0,1399,50,54,16,,,,,,1519
518,North Commonwealth between Hereford and Mass,0,0,5,366,378,558,207,,,,,,1514
923,East Clarendon between Newbury and Boylston,44,35,233,276,329,399,194,,,,,,1510
