"Archive Date","Associated Streets","Collection Date","Data Type","Intersection Number","Neighborhood Code","Original File Name","Site Location","Street Name","Study Period","Study Type"
"01/15/2014 07:00:00 PM","D ST, RAMP DB","12-02-2008","","4116","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4116_D ST, RAMP DB_SB_11HR_TMC_12022008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","D ST, RAMP DB","07-25-2013","","4116","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4116_D ST, RAMP DB_SB_12HR_TMC_07252013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","LINCOLN ST, SOUTH STATION CONNECTOR, RAMP K","07-30-2013","","4109","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4109_LINCOLN ST, SOUTH STATION CONNECTOR, RAMP K_BP_12HR_TMC_07302013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","ALBANY ST, SOUTH STATION CONNECTOR","12-16-2008","","4110","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4110_ALBANY ST, SOUTH STATION CONNECTOR_BP_11HR_TMC_12162008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","ALBANY ST, SOUTH STATION CONNECTOR","07-30-2013","","4110","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4110_ALBANY ST, SOUTH STATION CONNECTOR_BP_12HR_TMC_07302013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","SUMMER ST, WEST SIDE DR","12-03-2008","","4111","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4111_SUMMER ST, WEST SIDE DR_SB_11HR_TMC_12032008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","SUMMER ST, WEST SIDE DR","07-25-2013","","4111","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4111_SUMMER ST, WEST SIDE DR_SB_12HR_TMC_07252013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","FRONTAGE RD NB, TRAVELER ST","12-04-2008","","4114","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4114_FRONTAGE RD NB, TRAVELER ST_SB_11HR_TMC_12042008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","BOWKER OVERPASS, BOYLSTON ST","04-27-2011","","9007","BOSTON PROPER","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_9007_BOWKER OVERPASS, BOYLSTON ST_BP_11HR_TMC_04272011.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","BROOKLINE AVE, FENWAY, RIVERWAY","04-12-2011","","9011","ROXBURY","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_9011_BROOKLINE AVE, FENWAY, RIVERWAY_RX_11HR_TMC_04122011.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","FRONTAGE RD SB, RAMP A2, RAMP I","12-04-2008","","9993","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_9993_FRONTAGE RD SB, RAMP A2, RAMP I_SB_11HR_TMC_12042008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","FRONTAGE RD SB, RAMP A2, RAMP I","07-30-2013","","9993","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_9993_FRONTAGE RD SB, RAMP A2, RAMP I_SB_12HR_TMC_07302013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","BOSTON WHARF RD, SEAPORT BLVD","07-25-2013","","3108","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_3108_BOSTON WHARF RD, SEAPORT BLVD_SB_12HR_TMC_07252013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","SEAPORT BLVD, SLEEPER ST","12-03-2008","","3109","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_3109_SEAPORT BLVD, SLEEPER ST_SB_11HR_TMC_12032008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","SEAPORT BLVD, SLEEPER ST","07-25-2013","","3109","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_3109_SEAPORT BLVD, SLEEPER ST_SB_12HR_TMC_07252013.PDF","","","12 HOURS","TURNING MOVEMENT COUNT"
"01/15/2014 07:00:00 PM","CONGRESS ST, D ST","12-02-2008","","4059","SOUTH BOSTON","\\CH-NAS\SCERISISD\BTD_SCERIS_DOCS\BTD_TRAFFIC_COUNTS\TMC\INT_4059_CONGRESS ST, D ST_SB_11HR_TMC_12022008.PDF","","","11 HOURS","TURNING MOVEMENT COUNT"
