Day Index,Pageviews
01/01/2014 12:00:00 AM,897
01/02/2014 12:00:00 AM,1858
01/03/2014 12:00:00 AM,1523
01/04/2014 12:00:00 AM,1077
01/05/2014 12:00:00 AM,1185
01/06/2014 12:00:00 AM,2598
01/07/2014 12:00:00 AM,2300
01/08/2014 12:00:00 AM,2161
01/09/2014 12:00:00 AM,2165
01/10/2014 12:00:00 AM,1940
01/11/2014 12:00:00 AM,1023
01/12/2014 12:00:00 AM,1274
01/13/2014 12:00:00 AM,2380
01/14/2014 12:00:00 AM,2086
01/15/2014 12:00:00 AM,2175
01/16/2014 12:00:00 AM,2121
01/17/2014 12:00:00 AM,2084
01/18/2014 12:00:00 AM,1035
01/19/2014 12:00:00 AM,1086
01/20/2014 12:00:00 AM,1857
01/21/2014 12:00:00 AM,2126
01/22/2014 12:00:00 AM,2052
01/23/2014 12:00:00 AM,1989
01/24/2014 12:00:00 AM,1983
01/25/2014 12:00:00 AM,1108
01/26/2014 12:00:00 AM,1217
01/27/2014 12:00:00 AM,2360
01/28/2014 12:00:00 AM,2155
01/29/2014 12:00:00 AM,2050
01/30/2014 12:00:00 AM,2119
01/31/2014 12:00:00 AM,2108
02/01/2014 12:00:00 AM,1158
02/02/2014 12:00:00 AM,1100
02/03/2014 12:00:00 AM,2407
02/04/2014 12:00:00 AM,2131
02/05/2014 12:00:00 AM,1827
02/06/2014 12:00:00 AM,2112
02/07/2014 12:00:00 AM,2119
02/08/2014 12:00:00 AM,1170
02/09/2014 12:00:00 AM,1196
02/10/2014 12:00:00 AM,2536
02/11/2014 12:00:00 AM,2162
02/12/2014 12:00:00 AM,2274
02/13/2014 12:00:00 AM,2156
02/14/2014 12:00:00 AM,1883
02/15/2014 12:00:00 AM,1148
02/16/2014 12:00:00 AM,1090
02/17/2014 12:00:00 AM,1722
02/18/2014 12:00:00 AM,2160
02/19/2014 12:00:00 AM,2218
02/20/2014 12:00:00 AM,2186
02/21/2014 12:00:00 AM,2334
02/22/2014 12:00:00 AM,1239
02/23/2014 12:00:00 AM,1327
02/24/2014 12:00:00 AM,2758
02/25/2014 12:00:00 AM,2426
02/26/2014 12:00:00 AM,2348
02/27/2014 12:00:00 AM,2350
02/28/2014 12:00:00 AM,2432
03/01/2014 12:00:00 AM,1406
03/02/2014 12:00:00 AM,1412
03/03/2014 12:00:00 AM,2753
03/04/2014 12:00:00 AM,2634
03/05/2014 12:00:00 AM,2454
03/06/2014 12:00:00 AM,2559
03/07/2014 12:00:00 AM,2273
